OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
1/22/2019,11/10/2002,SO48969,449,23320,9,1,1
1/22/2019,10/10/2002,SO48965,450,19030,8,1,1
1/22/2019,11/7/2002,SO48964,451,16824,8,1,1
1/23/2019,11/23/2002,SO48984,452,13632,9,1,1
1/23/2019,10/28/2002,SO48975,477,17739,7,1,1
1/23/2019,10/2/2002,SO48986,478,26651,9,1,1
1/23/2019,9/30/2002,SO48974,479,17717,10,1,1
1/23/2019,12/5/2002,SO48978,480,14290,1,1,1
1/23/2019,11/28/2002,SO48983,483,15500,4,1,1
1/23/2019,11/3/2002,SO48987,484,26655,9,1,1
1/23/2019,12/10/2002,SO48976,485,12404,10,1,1
1/23/2019,10/25/2002,SO48982,486,15484,4,1,1
1/23/2019,12/30/2002,SO48979,487,13855,4,1,1
1/23/2019,11/29/2002,SO48985,528,13646,9,1,1
1/23/2019,1/4/2003,SO48981,529,23348,9,1,1
1/23/2019,12/29/2002,SO48977,530,20842,8,1,1
1/23/2019,10/29/2002,SO48980,535,23322,9,1,1
1/24/2019,11/24/2002,SO48992,536,13862,4,1,1
1/24/2019,12/9/2002,SO48993,537,23410,9,1,1
1/24/2019,12/22/2002,SO48988,538,16565,8,1,1
1/24/2019,11/18/2002,SO48990,539,12559,10,1,1
1/24/2019,10/20/2002,SO48994,540,15506,4,1,1
1/24/2019,11/20/2002,SO48991,541,12291,8,1,1
1/24/2019,12/17/2002,SO48989,360,29364,7,1,1
1/25/2019,10/30/2002,SO48998,332,26661,9,1,1
1/25/2019,10/24/2002,SO48995,354,28885,7,1,1
1/25/2019,11/5/2002,SO48997,369,13854,4,1,1
1/25/2019,12/15/2002,SO48996,387,14334,1,1,1
1/26/2019,12/19/2002,SO49002,371,23323,9,1,1
1/26/2019,11/4/2002,SO49005,362,26723,4,1,1
1/26/2019,10/8/2002,SO49000,360,12460,10,1,1
1/26/2019,10/4/2002,SO49006,360,13633,9,1,1
1/26/2019,11/3/2002,SO49008,330,26660,9,1,1
1/26/2019,12/30/2002,SO49004,370,23420,9,1,1
1/26/2019,1/1/2003,SO49001,356,29380,7,1,1
1/26/2019,10/20/2002,SO48999,377,15463,7,1,1
1/26/2019,12/24/2002,SO49003,369,23325,9,1,1
1/27/2019,10/16/2002,SO49011,358,26698,4,1,1
1/27/2019,1/12/2003,SO49009,332,20890,10,1,1
1/27/2019,10/26/2002,SO49010,369,23416,9,1,1
1/28/2019,12/11/2002,SO49013,370,13745,1,1,1
1/28/2019,10/13/2002,SO49015,352,13965,9,1,1
1/28/2019,10/10/2002,SO49016,358,13971,9,1,1
1/28/2019,12/1/2002,SO49014,368,23331,9,1,1
1/28/2019,12/28/2002,SO49012,368,16572,8,1,1
1/29/2019,10/19/2002,SO49021,371,13744,1,1,1
1/29/2019,12/11/2002,SO49019,371,17782,10,1,1
1/29/2019,10/12/2002,SO49017,375,17744,10,1,1
1/29/2019,12/11/2002,SO49018,371,17747,10,1,1
1/29/2019,1/5/2003,SO49022,377,23116,9,1,1
1/29/2019,12/16/2002,SO49023,328,26589,9,1,1
1/29/2019,11/3/2002,SO49024,340,26654,9,1,1
1/29/2019,11/24/2002,SO49020,385,19035,8,1,1
1/30/2019,10/12/2002,SO49028,360,13648,9,1,1
1/30/2019,10/15/2002,SO49025,332,19319,7,1,1
1/30/2019,11/18/2002,SO49030,375,23119,9,1,1
1/30/2019,12/18/2002,SO49027,324,15501,4,1,1
1/30/2019,11/8/2002,SO49026,370,16549,8,1,1
1/30/2019,11/25/2002,SO49029,383,25020,9,1,1
1/31/2019,11/27/2002,SO49033,375,13747,1,1,1
1/31/2019,11/5/2002,SO49035,375,23343,9,1,1
1/31/2019,10/20/2002,SO49037,356,20708,6,1,1
1/31/2019,12/16/2002,SO49036,360,26731,4,1,1
1/31/2019,11/21/2002,SO49034,368,23321,9,1,1
1/31/2019,10/19/2002,SO49038,360,21138,6,1,1
1/31/2019,10/22/2002,SO49032,368,15085,7,1,1
1/31/2019,12/24/2002,SO49031,214,29389,7,1,1
2/1/2019,10/8/2002,SO49177,215,27064,1,1,1
2/1/2019,1/16/2003,SO49178,220,14342,1,1,1
2/1/2019,12/16/2002,SO49172,446,13885,1,1,1
2/1/2019,10/25/2002,SO49179,447,14365,4,1,1
2/1/2019,1/8/2003,SO49174,448,14049,9,1,1
2/1/2019,11/25/2002,SO49173,449,14047,9,1,1
2/1/2019,10/28/2002,SO49175,450,23431,9,1,1
2/1/2019,10/10/2002,SO49171,451,13865,4,1,1
2/1/2019,11/9/2002,SO49180,452,26744,9,1,1
2/1/2019,11/11/2002,SO49176,477,27054,4,1,1
2/2/2019,11/9/2002,SO49183,478,16944,8,1,1
2/2/2019,11/13/2002,SO49182,479,16830,8,1,1
2/2/2019,10/6/2002,SO49186,480,23526,9,1,1
2/2/2019,11/12/2002,SO49185,483,14134,9,1,1
2/2/2019,12/16/2002,SO49181,484,17890,10,1,1
2/2/2019,11/23/2002,SO49188,485,26815,1,1,1
2/2/2019,10/26/2002,SO49187,486,23545,9,1,1
2/2/2019,11/18/2002,SO49189,487,15525,4,1,1
2/2/2019,12/21/2002,SO49184,528,14129,9,1,1
2/2/2019,12/22/2002,SO49190,529,25033,9,1,1
2/3/2019,11/20/2002,SO49195,530,20845,8,1,1
2/3/2019,1/19/2003,SO49191,535,19435,10,1,1
2/3/2019,11/3/2002,SO49194,536,20922,10,1,1
2/3/2019,12/30/2002,SO49192,537,19040,8,1,1
2/3/2019,12/9/2002,SO49199,538,26667,9,1,1
2/3/2019,10/19/2002,SO49196,539,12386,8,1,1
2/3/2019,12/2/2002,SO49198,540,26662,9,1,1
2/3/2019,12/16/2002,SO49197,541,29415,7,1,1
2/3/2019,1/9/2003,SO49193,360,29390,7,1,1
2/4/2019,1/5/2003,SO49206,375,23423,9,1,1
2/4/2019,12/1/2002,SO49208,375,23531,9,1,1
2/4/2019,10/19/2002,SO49213,387,25034,9,1,1
2/4/2019,12/22/2002,SO49202,375,17829,10,1,1
2/4/2019,10/24/2002,SO49200,368,17889,10,1,1
2/4/2019,10/14/2002,SO49214,379,23575,9,1,1
2/4/2019,11/3/2002,SO49209,218,23541,9,1,1
2/4/2019,11/19/2002,SO49201,219,17795,10,1,1
2/4/2019,12/27/2002,SO49207,223,23432,9,1,1
2/4/2019,10/12/2002,SO49215,226,15521,4,1,1
2/4/2019,11/7/2002,SO49203,229,19343,7,1,1
2/4/2019,1/11/2003,SO49204,232,14103,9,1,1
2/4/2019,10/18/2002,SO49212,235,14337,1,1,1
2/4/2019,11/26/2002,SO49211,445,27020,4,1,1
2/4/2019,1/17/2003,SO49216,453,26749,9,1,1
2/4/2019,1/14/2003,SO49205,454,14130,9,1,1
2/4/2019,11/25/2002,SO49210,455,21331,6,1,1
2/5/2019,11/23/2002,SO49220,456,14032,9,1,1
2/5/2019,11/18/2002,SO49221,457,23532,9,1,1
2/5/2019,12/1/2002,SO49218,458,26113,6,1,1
2/5/2019,12/30/2002,SO49222,459,27078,4,1,1
2/5/2019,10/28/2002,SO49223,460,27017,1,1,1
2/5/2019,12/10/2002,SO49219,461,12619,10,1,1
2/5/2019,10/19/2002,SO49217,462,15637,7,1,1
2/5/2019,12/2/2002,SO49224,464,27073,1,1,1
2/6/2019,11/11/2002,SO49226,466,17792,10,1,1
2/6/2019,1/1/2003,SO49233,468,15531,1,1,1
2/6/2019,12/13/2002,SO49228,469,29404,7,1,1
2/6/2019,12/28/2002,SO49229,470,12390,8,1,1
2/6/2019,12/11/2002,SO49235,471,15537,4,1,1
2/6/2019,1/4/2003,SO49236,472,25021,9,1,1
2/6/2019,11/4/2002,SO49225,473,17191,8,1,1
2/6/2019,10/18/2002,SO49232,474,15529,1,1,1
2/6/2019,11/18/2002,SO49238,475,23593,9,1,1
2/6/2019,11/17/2002,SO49237,476,25035,9,1,1
2/6/2019,12/18/2002,SO49231,481,27058,1,1,1
2/6/2019,10/29/2002,SO49227,482,13873,4,1,1
2/6/2019,10/18/2002,SO49234,488,15534,1,1,1
2/6/2019,10/30/2002,SO49230,489,21266,6,1,1
2/7/2019,1/11/2003,SO49245,490,25029,9,1,1
2/7/2019,11/5/2002,SO49246,214,23640,9,1,1
2/7/2019,10/14/2002,SO49244,215,21284,6,1,1
2/7/2019,1/9/2003,SO49240,220,14058,9,1,1
2/7/2019,12/8/2002,SO49243,446,27074,1,1,1
2/7/2019,1/6/2003,SO49239,447,14011,9,1,1
2/7/2019,10/15/2002,SO49242,448,23524,9,1,1
2/7/2019,1/9/2003,SO49241,449,14065,9,1,1
2/8/2019,12/21/2002,SO49257,450,26746,9,1,1
2/8/2019,11/27/2002,SO49252,451,12378,8,1,1
2/8/2019,11/14/2002,SO49254,452,14216,9,1,1
2/8/2019,11/16/2002,SO49253,477,14211,9,1,1
2/8/2019,11/10/2002,SO49248,478,17766,7,1,1
2/8/2019,1/5/2003,SO49250,479,19323,7,1,1
2/8/2019,12/5/2002,SO49255,480,15523,1,1,1
2/8/2019,1/6/2003,SO49247,483,17793,10,1,1
2/8/2019,1/23/2003,SO49256,484,13997,9,1,1
2/8/2019,12/25/2002,SO49251,485,13871,4,1,1
2/8/2019,10/20/2002,SO49249,486,17767,7,1,1
2/9/2019,12/15/2002,SO49260,487,12608,10,1,1
2/9/2019,12/15/2002,SO49262,528,19335,7,1,1
2/9/2019,10/12/2002,SO49264,529,14046,9,1,1
2/9/2019,11/14/2002,SO49263,530,20843,8,1,1
2/9/2019,1/23/2003,SO49261,535,12609,10,1,1
2/9/2019,12/13/2002,SO49268,536,27056,4,1,1
2/9/2019,10/19/2002,SO49265,537,14050,9,1,1
2/9/2019,10/27/2002,SO49266,538,14051,9,1,1
2/9/2019,12/17/2002,SO49258,539,17828,10,1,1
2/9/2019,1/22/2003,SO49259,540,29397,7,1,1
2/10/2019,10/14/2002,SO49272,541,14055,9,1,1
2/10/2019,12/18/2002,SO49275,459,23645,9,1,1
2/10/2019,1/18/2003,SO49269,460,13884,1,1,1
2/10/2019,11/7/2002,SO49271,461,12630,10,1,1
2/10/2019,11/19/2002,SO49270,462,29412,7,1,1
2/11/2019,12/2/2002,SO49278,464,14038,9,1,1
2/11/2019,11/3/2002,SO49277,466,12615,10,1,1
2/11/2019,1/14/2003,SO49279,468,14045,9,1,1
2/11/2019,1/3/2003,SO49276,469,17849,10,1,1
2/12/2019,12/19/2002,SO49286,470,27050,1,1,1
2/12/2019,12/30/2002,SO49288,471,13994,9,1,1
2/12/2019,1/2/2003,SO49283,472,14220,9,1,1
2/12/2019,11/7/2002,SO49287,473,14007,9,1,1
2/12/2019,1/7/2003,SO49282,474,14133,9,1,1
2/12/2019,10/21/2002,SO49285,475,27077,4,1,1
2/12/2019,1/3/2003,SO49280,476,17815,10,1,1
2/12/2019,10/16/2002,SO49289,481,26748,9,1,1
2/12/2019,10/26/2002,SO49281,482,19324,7,1,1
2/12/2019,10/27/2002,SO49284,488,23436,9,1,1
2/13/2019,1/8/2003,SO49291,489,19433,10,1,1
2/13/2019,11/11/2002,SO49295,490,12388,8,1,1
2/13/2019,12/22/2002,SO49293,491,12297,8,1,1
2/13/2019,11/18/2002,SO49290,369,16940,8,1,1
2/13/2019,12/14/2002,SO49298,356,14210,9,1,1
2/13/2019,1/12/2003,SO49292,389,19038,8,1,1
2/13/2019,11/5/2002,SO49297,358,14127,9,1,1
2/13/2019,12/22/2002,SO49299,377,23533,9,1,1
2/13/2019,11/23/2002,SO49300,383,14362,1,1,1
2/13/2019,10/26/2002,SO49296,356,14010,9,1,1
2/14/2019,1/18/2003,SO49302,371,15651,7,1,1
2/14/2019,1/26/2003,SO49311,334,26743,9,1,1
2/14/2019,12/18/2002,SO49303,377,17103,8,1,1
2/14/2019,10/28/2002,SO49308,352,14128,9,1,1
2/14/2019,12/13/2002,SO49307,358,14071,9,1,1
2/14/2019,10/20/2002,SO49304,381,19437,10,1,1
2/14/2019,11/1/2002,SO49301,377,15665,7,1,1
2/14/2019,11/28/2002,SO49309,381,14364,4,1,1
2/14/2019,11/27/2002,SO49310,336,15527,4,1,1
2/14/2019,12/1/2002,SO49305,371,13866,4,1,1
2/15/2019,1/6/2003,SO49322,328,26747,9,1,1
2/15/2019,1/4/2003,SO49318,214,27267,6,1,1
2/15/2019,1/24/2003,SO49317,215,14355,1,1,1
2/15/2019,12/25/2002,SO49320,220,23649,9,1,1
2/15/2019,10/19/2002,SO49313,446,14039,9,1,1
2/15/2019,10/26/2002,SO49319,447,25022,9,1,1
2/15/2019,1/28/2003,SO49316,448,23433,9,1,1
2/15/2019,10/19/2002,SO49314,449,14214,9,1,1
2/15/2019,10/22/2002,SO49315,450,14215,9,1,1
2/15/2019,11/16/2002,SO49321,451,27063,1,1,1
2/15/2019,12/25/2002,SO49312,452,17086,8,1,1
2/16/2019,11/13/2002,SO49325,477,14219,9,1,1
2/16/2019,11/1/2002,SO49326,478,21305,6,1,1
2/16/2019,11/6/2002,SO49324,479,12461,8,1,1
2/16/2019,1/6/2003,SO49323,480,12612,10,1,1
2/17/2019,1/30/2003,SO49338,483,23571,9,1,1
2/17/2019,11/14/2002,SO49334,484,14132,9,1,1
2/17/2019,1/21/2003,SO49328,485,17812,10,1,1
2/17/2019,12/11/2002,SO49327,486,17790,10,1,1
2/17/2019,12/28/2002,SO49331,487,12384,8,1,1
2/17/2019,12/15/2002,SO49337,528,27068,4,1,1
